 id ; data_inversa ; dia_semana ; horario ; uf ; br ; km ; municipio ; causa_acidente ; tipo_acidente ; classificacao_acidente ; fase_dia ; sentido_via ; condicao_metereologica ; tipo_pista ; tracado_via ; uso_solo ; pessoas ; mortos ; feridos_leves ; feridos_graves ; ilesos ; ignorados ; feridos ; veiculos ; latitude ; longitude ; regional ; delegacia ; uop 
496712;2023-01-01; domingo ; 19:30:00 ; MG ;381;365; SAO GONCALO DO RIO ABAIXO ; Demais falhas mecânicas ou elétricas ; Incêndio ; Sem Vítimas ; Plena Noite ; Decrescente ; Chuva ; Simples ; Não Informado ; Não ;1;0;0;0;1;0;0;1;-19,85428822;-43,22658777; SPRF-MG ; DEL03-MG ; UOP01-DEL03-MG 
496731;2023-01-01; domingo ; 22:20:00 ; RJ ;465;18; NOVA IGUACU ; Acessar a via sem observar a presença dos outros veículos ; Colisão transversal ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Céu Claro ; Simples ; Reta ; Sim ;4;0;0;1;1;2;1;4;-22,831354;-43,615128; SPRF-RJ ; DEL01-RJ ; UOP04-DEL01-RJ 
496764;2023-01-02; segunda-feira ; 07:45:00 ; RS ;392;680; SAO PEDRO DO BUTIA ; Entrada inopinada do pedestre ; Atropelamento de Pedestre ; Com Vítimas Fatais ; Pleno dia ; Crescente ; Nublado ; Simples ; Reta ; Não ;2;1;0;0;1;0;0;1;-28,12855781;-54,90058898; SPRF-RS ; DEL10-RS ; UOP01-DEL10-RS 
496772;2023-01-02; segunda-feira ; 07:23:00 ; SC ;101;134; BALNEARIO CAMBORIU ; Reação tardia ou ineficiente do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Nublado ; Múltipla ; Reta ; Não ;2;0;1;0;1;0;1;2;-27,00218;-48,636433; SPRF-SC ; DEL04-SC ; UOP03-DEL04-SC 
496780;2023-01-02; segunda-feira ; 09:00:00 ; PI ;316;7,7; TERESINA ; Acessar a via sem observar a presença dos outros veículos ; Colisão transversal ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Sol ; Múltipla ; Reta ; Sim ;3;0;2;0;1;0;2;2;-5,15584638;-42,77173332; SPRF-PI ; DEL01-PI ; UOP02-DEL01-PI 
496782;2023-01-02; segunda-feira ; 09:45:00 ; GO ;50;307,6; CUMARI ; Acessar a via sem observar a presença dos outros veículos ; Colisão lateral mesmo sentido ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Dupla ; Reta ; Não ;2;0;1;0;1;0;1;2;-18,3769;-48,0609; SPRF-GO ; DEL06-GO ; UOP01-DEL06-GO 
496787;2023-01-02; segunda-feira ; 10:15:00 ; PE ;101;68; RECIFE ; Ausência de reação do condutor ; Engavetamento ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Nublado ; Simples ; Viaduto ; Sim ;5;0;2;0;3;0;2;3;-8,05074296;-34,94580619; SPRF-PE ; DEL01-PE ; UOP01-DEL01-PE 
496789;2023-01-02; segunda-feira ; 10:20:00 ; ES ;101;329,8; GUARAPARI ; Manobra de mudança de faixa ; Colisão transversal ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Nublado ; Dupla ; Retorno Regulamentado ; Não ;2;0;1;0;1;0;1;2;-20,5929953;-40,50133975; SPRF-ES ; DEL03-ES ; UOP01-DEL03-ES 
496795;2023-01-02; segunda-feira ; 08:25:00 ; MG ;365;376; PATOS DE MINAS ; Reação tardia ou ineficiente do condutor ; Colisão lateral sentido oposto ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Nublado ; Simples ; Não Informado ; Não ;2;0;1;0;1;0;1;2;-18,54013425;-46,18821401; SPRF-MG ; DEL10-MG ; UOP01-DEL10-MG 
496804;2023-01-02; segunda-feira ; 12:05:00 ; RS ;290;127,6; ELDORADO DO SUL ; Avarias e/ou desgaste excessivo no pneu ; Saída de leito carroçável ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Simples ; Reta ; Não ;1;0;1;0;0;0;1;1;-30,056417;-51,479671; SPRF-RS ; DEL02-RS ; UOP01-DEL02-RS 
496807;2023-01-02; segunda-feira ; 09:00:00 ; MG ;365;653; MONTE ALEGRE DE MINAS ; Velocidade Incompatível ; Tombamento ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Dupla ; Não Informado ; Não ;1;0;1;0;0;0;1;1;-18,86439215;-48,5887742; SPRF-MG ; DEL15-MG ; UOP01-DEL15-MG 
496811;2023-01-02; segunda-feira ; 12:15:00 ; MG ;381;370; SAO GONCALO DO RIO ABAIXO ; Demais falhas mecânicas ou elétricas ; Derramamento de carga ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Chuva ; Simples ; Não Informado ; Não ;1;0;1;0;0;0;1;1;-19,84250801;-43,31533375; SPRF-MG ; DEL01-MG ; UOP01-DEL01-MG 
496816;2023-01-02; segunda-feira ; 12:30:00 ; PA ;316;72; CASTANHAL ; Transitar na contramão ; Colisão frontal ; Com Vítimas Fatais ; Pleno dia ; Decrescente ; Nublado ; Simples ; Reta ; Não ;6;2;1;2;1;0;3;3;-1,289131;-47,846035; SPRF-PA ; DEL01-PA ; UOP01-DEL01-PA 
496817;2023-01-02; segunda-feira ; 12:55:00 ; GO ;50;233; CATALAO ; Ausência de reação do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Dupla ; Não Informado ; Não ;2;0;1;0;1;0;1;2;-17,8272;-47,7732; SPRF-GO ; DEL06-GO ; UOP01-DEL06-GO 
496818;2023-01-02; segunda-feira ; 13:00:00 ; MG ;381;333; NOVA ERA ; Reação tardia ou ineficiente do condutor ; Colisão lateral sentido oposto ; Com Vítimas Fatais ; Pleno dia ; Decrescente ; Garoa/Chuvisco ; Simples ; Não Informado ; Não ;2;1;0;0;1;0;0;2;-19,80205311;-43,05435026; SPRF-MG ; DEL03-MG ; UOP01-DEL03-MG 
496827;2023-01-02; segunda-feira ; 13:24:00 ; PE ;101;57; PAULISTA ; Reação tardia ou ineficiente do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Dupla ; Curva ; Não ;3;0;1;0;1;1;1;2;-7,96346213;-34,91513486; SPRF-PE ; DEL01-PE ; UOP02-DEL01-PE 
496831;2023-01-02; segunda-feira ; 14:00:00 ; RS ;386;154; ALMIRANTE TAMANDARE DO SUL ; Transitar na contramão ; Colisão frontal ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Simples ; Não Informado ; Não ;5;0;1;3;1;0;4;3;-28,11407977;-52,8565979; SPRF-RS ; DEL08-RS ; UOP01-DEL08-RS 
496834;2023-01-02; segunda-feira ; 14:06:00 ; MS ;376;133; IVINHEMA ; Transitar na contramão ; Colisão frontal ; Com Vítimas Fatais ; Pleno dia ; Crescente ; Garoa/Chuvisco ; Simples ; Reta ; Não ;3;1;1;1;0;0;2;2;-22,36021748;-53,70728925; SPRF-MS ; DEL04-MS ; UOP04-DEL04-MS 
496836;2023-01-02; segunda-feira ; 14:00:00 ; MT ;163;559; DIAMANTINO ; Pista Escorregadia ; Colisão frontal ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Chuva ; Simples ; Curva ; Não ;3;0;2;0;1;0;2;2;-14,24293501;-56,12516399; SPRF-MT ; DEL01-MT ; UOP01-DEL01-MT 
496840;2023-01-02; segunda-feira ; 15:16:00 ; SP ;381;79; SAO PAULO ; Reação tardia ou ineficiente do condutor ; Colisão traseira ; Com Vítimas Fatais ; Pleno dia ; Decrescente ; Sol ; Múltipla ; Reta ; Não ;8;1;1;0;6;0;1;5;-23,40319901;-46,57564699; SPRF-SP ; DEL03-SP ; UOP01-DEL03-SP 
496859;2023-01-02; segunda-feira ; 12:30:00 ; MA ;316;615,7; TIMON ; Condutor deixou de manter distância do veículo da frente ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Simples ; Reta ; Sim ;2;0;1;0;1;0;1;2;-5,086548;-42,837265; SPRF-MA ; DEL03-MA ; UOP02-DEL03-MA 
496862;2023-01-02; segunda-feira ; 16:00:00 ; MG ;40;588; ITABIRITO ; Transitar na contramão ; Tombamento ; Com Vítimas Fatais ; Pleno dia ; Decrescente ; Chuva ; Simples ; Curva ; Não ;8;1;2;1;4;0;3;5;-20,35149094;-43,91313094; SPRF-MG ; DEL01-MG ; UOP02-DEL01-MG 
496875;2023-01-02; segunda-feira ; 17:25:00 ; SC ;101;255; PAULO LOPES ; Manobra de mudança de faixa ; Colisão lateral mesmo sentido ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Dupla ; Reta ; Não ;6;0;1;0;5;0;1;3;-27,98242299;-48,67898469; SPRF-SC ; DEL02-SC ; UOP03-DEL02-SC 
496877;2023-01-02; segunda-feira ; 17:15:00 ; SC ;101;252; PAULO LOPES ; Trafegar com motocicleta (ou similar) entre as faixas ; Colisão lateral mesmo sentido ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Dupla ; Reta ; Não ;4;0;0;1;2;1;1;3;-27,95672412;-48,6767588; SPRF-SC ; DEL02-SC ; UOP03-DEL02-SC 
496882;2023-01-02; segunda-feira ; 18:00:00 ; BA ;324;533; CONCEICAO DO JACUIPE ; Ausência de reação do condutor ; Colisão traseira ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Chuva ; Dupla ; Não Informado ; Não ;3;0;1;0;2;0;1;2;-12,34449694;-38,84017496; SPRF-BA ; DEL01-BA ; UOP03-DEL01-BA 
496884;2023-01-02; segunda-feira ; 16:40:00 ; RS ;116;37,9; VACARIA ; Acessar a via sem observar a presença dos outros veículos ; Colisão transversal ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Simples ; Reta ; Sim ;2;0;1;0;1;0;1;2;-28,49871957;-50,9176864; SPRF-RS ; DEL05-RS ; UOP03-DEL05-RS 
496885;2023-01-02; segunda-feira ; 17:00:00 ; PI ;316;299; PICOS ; Transitar na contramão ; Colisão lateral sentido oposto ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Dupla ; Não Informado ; Não ;2;0;0;1;1;0;1;2;-7,03649583;-41,55366988; SPRF-PI ; DEL04-PI ; UOP01-DEL04-PI 
496895;2023-01-02; segunda-feira ; 18:05:00 ; MT ;364;586; DIAMANTINO ; Demais falhas mecânicas ou elétricas ; Incêndio ; Sem Vítimas ; Anoitecer ; Crescente ; Céu Claro ; Dupla ; Reta ; Não ;1;0;0;0;1;0;0;1;-14,533322;-56,230499; SPRF-MT ; DEL01-MT ; UOP01-DEL01-MT 
496901;2023-01-02; segunda-feira ; 15:10:00 ; CE ;116;274; JAGUARIBARA ; Pista esburacada ; Tombamento ; Sem Vítimas ; Pleno dia ; Crescente ; Céu Claro ; Simples ; Reta ; Não ;1;0;0;0;1;0;0;1;-5,66025238;-38,45395088; SPRF-CE ; DEL05-CE ; UOP02-DEL05-CE 
496904;2023-01-02; segunda-feira ; 16:45:00 ; MG ;40;446; PARAOPEBA ; Pedestre andava na pista ; Atropelamento de Pedestre ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Dupla ; Desvio Temporário ; Não ;2;0;0;1;1;0;1;1;-19,28815;-44,392; SPRF-MG ; DEL02-MG ; UOP01-DEL02-MG 
496918;2023-01-02; segunda-feira ; 18:30:00 ; BA ;407;165; FILADELFIA ; Ultrapassagem Indevida ; Colisão lateral sentido oposto ; Com Vítimas Feridas ; Plena Noite ; Decrescente ; Chuva ; Simples ; Reta ; Não ;4;0;1;0;3;0;1;3;-10,79429803;-40,11707135; SPRF-BA ; DEL04-BA ; UOP01-DEL04-BA 
496922;2023-01-02; segunda-feira ; 22:30:00 ; SC ;101;8,9; GARUVA ; Reação tardia ou ineficiente do condutor ; Tombamento ; Com Vítimas Feridas ; Plena Noite ; Decrescente ; Nublado ; Dupla ; Reta ; Não ;1;0;1;0;0;0;1;1;-26,044942;-48,859703; SPRF-SC ; DEL03-SC ; UOP01-DEL03-SC 
496929;2023-01-02; segunda-feira ; 22:55:00 ; MG ;116;518,9; CARATINGA ; Condutor Dormindo ; Saída de leito carroçável ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Nublado ; Simples ; Não Informado ; Não ;1;0;1;0;0;0;1;1;-19,71038379;-42,12370706; SPRF-MG ; DEL06-MG ; UOP02-DEL06-MG 
496930;2023-01-02; segunda-feira ; 22:00:00 ; AP ;210;104; PORTO GRANDE ; Acessar a via sem observar a presença dos outros veículos ; Colisão transversal ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Céu Claro ; Simples ; Reta ; Sim ;4;0;0;1;1;2;1;2;0,6985633;-51,39692189; SPRF-AP ; N/A ; UOP01-DEL01-AP 
496938;2023-01-03; terça-feira ; 03:30:00 ; PB ;412;78,6; SERRA BRANCA ; Reação tardia ou ineficiente do condutor ; Tombamento ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Céu Claro ; Simples ; Reta ; Não ;2;0;0;1;1;0;1;2;-7,498733;-36,681053; SPRF-PB ; DEL02-PB ; UOP02-DEL02-PB 
496943;2023-01-03; terça-feira ; 04:00:00 ; RJ ;116;270,8; BARRA MANSA ; Reação tardia ou ineficiente do condutor ; Colisão traseira ; Com Vítimas Feridas ; Plena Noite ; Decrescente ; Céu Claro ; Dupla ; Não Informado ; Não ;2;0;1;0;1;0;1;2;-22,56259683;-44,12204951; SPRF-RJ ; DEL07-RJ ; UOP02-DEL07-RJ 
496949;2023-01-03; terça-feira ; 06:45:00 ; MG ;40;245; SAO GONCALO DO ABAETE ; Acumulo de óleo sobre o pavimento ; Colisão frontal ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Chuva ; Dupla ; Não Informado ; Não ;2;0;2;0;0;0;2;2;-18,0946169;-45,47580786; SPRF-MG ; DEL14-MG ; UOP02-DEL14-MG 
496950;2023-01-03; terça-feira ; 06:10:00 ; SC ;101;262; PAULO LOPES ; Manobra de mudança de faixa ; Colisão lateral mesmo sentido ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Dupla ; Reta ; Não ;3;0;1;0;2;0;1;2;-28,0353863;-48,70884453; SPRF-SC ; DEL02-SC ; UOP03-DEL02-SC 
496956;2023-01-03; terça-feira ; 06:55:00 ; SC ;101;23,3; JOINVILLE ; Transitar na contramão ; Colisão frontal ; Com Vítimas Feridas ; Amanhecer ; Decrescente ; Céu Claro ; Dupla ; Reta ; Sim ;2;0;1;0;1;0;1;2;-26,16582501;-48,90742427; SPRF-SC ; DEL03-SC ; UOP01-DEL03-SC 
496969;2023-01-03; terça-feira ; 07:35:00 ; PR ;376;315; ORTIGUEIRA ; Carga excessiva e/ou mal acondicionada ; Tombamento ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Dupla ; Reta ; Não ;1;0;1;0;0;0;1;1;-24,02668686;-51,09740947; SPRF-PR ; DEL07-PR ; UOP02-DEL07-PR 
496970;2023-01-03; terça-feira ; 08:15:00 ; PE ;428;189; PETROLINA ; Condutor desrespeitou a iluminação vermelha do semáforo ; Colisão transversal ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Dupla ; Reta ; Sim ;2;0;1;0;1;0;1;2;-9,37197508;-40,48679585; SPRF-PE ; DEL06-PE ; UOP01-DEL06-PE 
496978;2023-01-02; segunda-feira ; 04:15:00 ; SC ;280;77,9; CORUPA ; Acessar a via sem observar a presença dos outros veículos ; Colisão transversal ; Com Vítimas Feridas ; Amanhecer ; Crescente ; Céu Claro ; Simples ; Não Informado ; Não ;2;0;1;0;1;0;1;2;-26,44606085;-49,20347214; SPRF-SC ; DEL06-SC ; UOP03-DEL06-SC 
496983;2023-01-03; terça-feira ; 08:50:00 ; SC ;470;77,4; INDAIAL ; Ausência de reação do condutor ; Colisão lateral sentido oposto ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Simples ; Reta ; Não ;4;0;0;2;2;0;2;3;-26,940817;-49,29287; SPRF-SC ; DEL04-SC ; UOP01-DEL04-SC 
496989;2023-01-03; terça-feira ; 09:30:00 ; GO ;20;58; FORMOSA ; Chuva ; Engavetamento ; Com Vítimas Fatais ; Pleno dia ; Crescente ; Chuva ; Simples ; Não Informado ; Não ;3;1;1;0;1;0;1;3;-15,263369;-47,16048; SPRF-DF ; DEL02-DF ; UOP02-DEL02-DF 
496991;2023-01-03; terça-feira ; 10:15:00 ; SC ;480;131; CHAPECO ; Manobra de mudança de faixa ; Colisão lateral mesmo sentido ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Sol ; Dupla ; Reta ; Sim ;2;0;1;0;1;0;1;2;-27,06314223;-52,63234636; SPRF-SC ; DEL07-SC ; UOP01-DEL07-SC 
496992;2023-01-03; terça-feira ; 06:00:00 ; MG ;40;245; SAO GONCALO DO ABAETE ; Pista Escorregadia ; Saída de leito carroçável ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Chuva ; Simples ; Não Informado ; Não ;1;0;1;0;0;0;1;1;-18,0946169;-45,47580786; SPRF-MG ; DEL14-MG ; UOP02-DEL14-MG 
497003;2023-01-03; terça-feira ; 07:10:00 ; RJ ;101;321; NITEROI ; Ausência de reação do condutor ; Colisão com objeto ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Dupla ; Curva ; Sim ;1;0;1;0;0;0;1;1;-22,86981096;-43,11046465; SPRF-RJ ; DEL02-RJ ; UOP01-DEL02-RJ 
497005;2023-01-03; terça-feira ; 09:45:00 ; MG ;262;662,7; IBIA ; Reação tardia ou ineficiente do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Simples ; Não Informado ; Não ;6;0;0;1;5;0;1;2;-19,57436983;-46,73638289; SPRF-MG ; DEL08-MG ; UOP01-DEL08-MG 
497013;2023-01-03; terça-feira ; 10:03:00 ; MS ;158;103; PARANAIBA ; Reação tardia ou ineficiente do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Nublado ; Simples ; Não Informado ; Não ;5;0;3;0;2;0;3;4;-19,72704906;-51,13418411; SPRF-MS ; DEL08-MS ; UOP01-DEL08-MS 
497016;2023-01-03; terça-feira ; 12:35:00 ; SE ;101;158,8; ESTANCIA ; Mal súbito do condutor ; Tombamento ; Com Vítimas Fatais ; Pleno dia ; Crescente ; Nublado ; Simples ; Não Informado ; Não ;2;1;1;0;0;0;1;1;-11,28684952;-37,46531707; SPRF-SE ; DEL02-SE ; UOP01-DEL02-SE 
497018;2023-01-03; terça-feira ; 07:00:00 ; PE ;407;23; AFRANIO ; Curva acentuada ; Tombamento ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Simples ; Curva ; Não ;1;0;1;0;0;0;1;1;-8,62956368;-40,99411011; SPRF-PE ; DEL06-PE ; UOP02-DEL06-PE 
497023;2023-01-03; terça-feira ; 09:20:00 ; MG ;153;94; PRATA ; Ausência de reação do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Simples ; Não Informado ; Não ;5;0;4;0;1;0;4;2;-19,17916906;-48,94996047; SPRF-MG ; DEL15-MG ; UOP03-DEL15-MG 
497025;2023-01-03; terça-feira ; 10:50:00 ; BA ;101;382; IBIRAPITANGA ; Reação tardia ou ineficiente do condutor ; Saída de leito carroçável ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Simples ; Não Informado ; Não ;4;0;1;1;2;0;2;1;-13,882186;-39,488227; SPRF-BA ; DEL05-BA ; UOP03-DEL05-BA 
497026;2023-01-03; terça-feira ; 11:45:00 ; RS ;290;283,9; CACHOEIRA DO SUL ; Ausência de reação do condutor ; Tombamento ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Simples ; Reta ; Não ;6;0;0;1;5;0;1;5;-30,249758;-53,053596; SPRF-RS ; DEL02-RS ; UOP03-DEL02-RS 
497028;2023-01-03; terça-feira ; 12:50:00 ; MG ;116;703; MURIAE ; Desrespeitar a preferência no cruzamento ; Colisão transversal ; Sem Vítimas ; Pleno dia ; Decrescente ; Sol ; Simples ; Reta ; Sim ;3;0;0;0;3;0;0;2;-21,12682309;-42,3832189; SPRF-MG ; DEL07-MG ; UOP02-DEL07-MG 
497030;2023-01-03; terça-feira ; 13:00:00 ; CE ;222;297; TIANGUA ; Chuva ; Saída de leito carroçável ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Chuva ; Simples ; Reta ; Não ;2;0;1;0;1;0;1;1;-3,65826065;-40,92482891; SPRF-CE ; DEL04-CE ; UOP02-DEL04-CE 
497034;2023-01-03; terça-feira ; 12:45:00 ; SC ;153;90; CONCORDIA ; Transitar na contramão ; Colisão lateral sentido oposto ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Simples ; Curva ; Não ;7;0;1;0;6;0;1;3;-27,173784;-51,909233; SPRF-SC ; DEL07-SC ; UOP04-DEL07-SC 
497038;2023-01-03; terça-feira ; 13:50:00 ; BA ;324;525,9; FEIRA DE SANTANA ; Reação tardia ou ineficiente do condutor ; Tombamento ; Com Vítimas Fatais ; Pleno dia ; Decrescente ; Chuva ; Dupla ; Reta ; Sim ;2;1;0;0;1;0;0;2;-12,315771;-38,877942; SPRF-BA ; DEL01-BA ; UOP03-DEL01-BA 
497040;2023-01-03; terça-feira ; 13:36:00 ; PB ;101;60,2; SANTA RITA ; Ausência de reação do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Céu Claro ; Dupla ; Não Informado ; Sim ;2;0;0;1;1;0;1;2;-7,00141407;-35,06459811; SPRF-PB ; DEL01-PB ; UOP04-DEL01-PB 
497045;2023-01-03; terça-feira ; 13:45:00 ; PR ;277;326,8; GUARAPUAVA ; Condutor deixou de manter distância do veículo da frente ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Simples ; Reta ; Não ;5;0;1;0;4;0;1;2;-25,37291744;-51,27180793; SPRF-PR ; DEL08-PR ; UOP01-DEL08-PR 
497049;2023-01-03; terça-feira ; 13:30:00 ; MG ;381;380; SAO GONCALO DO RIO ABAIXO ; Ausência de reação do condutor ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Nublado ; Simples ; Não Informado ; Sim ;3;0;2;0;0;1;2;3;-19,8315359;-43,37649498; SPRF-MG ; DEL01-MG ; UOP01-DEL01-MG 
497050;2023-01-03; terça-feira ; 11:00:00 ; MG ;116;274,3; TEOFILO OTONI ; Transitar na calçada ; Colisão com objeto ; Sem Vítimas ; Pleno dia ; Crescente ; Céu Claro ; Dupla ; Retorno Regulamentado ; Sim ;1;0;0;0;1;0;0;1;-17,834659;-41,511382; SPRF-MG ; DEL11-MG ; UOP01-DEL11-MG 
497059;2023-01-03; terça-feira ; 15:01:00 ; MT ;163;800; SINOP ; Ausência de reação do condutor ; Colisão lateral sentido oposto ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Simples ; Não Informado ; Não ;3;0;0;1;2;0;1;3;-12,170115;-55,519555; SPRF-MT ; DEL06-MT ; UOP02-DEL06-MT 
497078;2023-01-03; terça-feira ; 16:10:00 ; MG ;40;600,9; OURO PRETO ; Manobra de mudança de faixa ; Colisão traseira ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Nublado ; Simples ; Reta ; Não ;2;0;1;0;1;0;1;2;-20,42625199;-43,86231799; SPRF-MG ; DEL05-MG ; UOP02-DEL05-MG 
